Origin,Destination,FlightDate,FlightType,FareType,DollarFare,DollarTax,PointsFare,PointsTax,IsDomesticRoute,IsPrivateFare
PSE,JFK,1/1/2018,NONSTOP,LOWEST,155.6,23.6,0,0,1,0
PSE,JFK,1/1/2018,NONSTOP,POINTS,155.6,23.6,9800,5.6,1,0
RSW,EWR,1/1/2018,NONSTOP,LOWEST,318.2,35.41,0,0,1,0
RSW,EWR,1/1/2018,NONSTOP,POINTS,318.2,35.41,26500,5.6,1,0
BOS,DCA,1/1/2018,NONSTOP,LOWEST,103.2,20.41,0,0,1,0
BOS,DCA,1/1/2018,NONSTOP,POINTS,103.2,20.41,6600,5.6,1,0
DTW,BOS,1/1/2018,NONSTOP,LOWEST,168.29,24.95,0,0,1,0
DTW,BOS,1/1/2018,NONSTOP,POINTS,168.29,24.95,11500,5.6,1,0
BWI,BOS,1/1/2018,NONSTOP,LOWEST,113.2,21.11,0,0,1,0
BWI,BOS,1/1/2018,NONSTOP,POINTS,113.2,21.11,7400,5.6,1,0
FLL,SDQ,1/1/2018,NONSTOP,LOWEST,192.4,59.4,0,0,0,0
FLL,SDQ,1/1/2018,NONSTOP,POINTS,192.4,59.4,9900,36.9,0,0
LAX,BOS,1/1/2018,NONSTOP,LOWEST,421.29,42.6,0,0,1,0
LAX,BOS,1/1/2018,NONSTOP,POINTS,421.29,42.6,38800,5.6,1,0
TPA,BOS,1/1/2018,NONSTOP,LOWEST,268.2,31.92,0,0,1,0
TPA,BOS,1/1/2018,NONSTOP,POINTS,268.2,31.92,20400,5.6,1,0
RSW,JFK,1/1/2018,NONSTOP,LOWEST,389.2,40.36,0,0,1,0
RSW,JFK,1/1/2018,NONSTOP,POINTS,389.2,40.36,35800,5.6,1,0
RDU,BOS,1/1/2018,NONSTOP,LOWEST,171.2,25.15,0,0,1,0
RDU,BOS,1/1/2018,NONSTOP,POINTS,171.2,25.15,11700,5.6,1,0
MCO,SJU,1/1/2018,NONSTOP,LOWEST,240.85,28.1,0,0,1,0
MCO,SJU,1/1/2018,NONSTOP,POINTS,240.85,28.1,15800,5.6,1,0
OAK,LGB,1/1/2018,NONSTOP,LOWEST,48.2,16.57,0,0,1,0
OAK,LGB,1/1/2018,NONSTOP,POINTS,48.2,16.57,2600,5.6,1,0
MCO,EWR,1/1/2018,NONSTOP,LOWEST,294.21,33.74,0,0,1,0
MCO,EWR,1/1/2018,NONSTOP,POINTS,294.21,33.74,22500,5.6,1,0
BQN,JFK,1/1/2018,NONSTOP,LOWEST,188.6,23.6,0,0,1,0
BQN,JFK,1/1/2018,NONSTOP,POINTS,188.6,23.6,12300,5.6,1,0
BOS,EWR,1/1/2018,NONSTOP,LOWEST,113.2,21.11,0,0,1,0
BOS,EWR,1/1/2018,NONSTOP,POINTS,113.2,21.11,7400,5.6,1,0
FLL,LGA,1/1/2018,NONSTOP,LOWEST,324.2,35.83,0,0,1,0
FLL,LGA,1/1/2018,NONSTOP,POINTS,324.2,35.83,29600,5.6,1,0
BOS,BWI,1/1/2018,NONSTOP,LOWEST,93.2,19.71,0,0,1,0
BOS,BWI,1/1/2018,NONSTOP,POINTS,93.2,19.71,5900,5.6,1,0
BOS,TPA,1/1/2018,NONSTOP,LOWEST,108.2,20.76,0,0,1,0
BOS,TPA,1/1/2018,NONSTOP,POINTS,108.2,20.76,7000,5.6,1,0
EWR,PBI,1/1/2018,NONSTOP,LOWEST,112.2,21.04,0,0,1,0
EWR,PBI,1/1/2018,NONSTOP,POINTS,112.2,21.04,7300,5.6,1,0
CLE,BOS,1/1/2018,NONSTOP,LOWEST,110.8,20.94,0,0,1,0
CLE,BOS,1/1/2018,NONSTOP,POINTS,110.8,20.94,7200,5.6,1,0
MCO,DCA,1/1/2018,NONSTOP,LOWEST,234.99,29.6,0,0,1,0
MCO,DCA,1/1/2018,NONSTOP,POINTS,234.99,29.6,16400,5.6,1,0
MCO,BDL,1/1/2018,NONSTOP,LOWEST,310.9,34.9,0,0,1,0
MCO,BDL,1/1/2018,NONSTOP,POINTS,310.9,34.9,23800,5.6,1,0
FLL,JFK,1/1/2018,NONSTOP,LOWEST,324.2,35.83,0,0,1,0
FLL,JFK,1/1/2018,NONSTOP,POINTS,324.2,35.83,29600,5.6,1,0
JFK,BUF,1/1/2018,NONSTOP,LOWEST,78.19,18.66,0,0,1,0
JFK,BUF,1/1/2018,NONSTOP,POINTS,78.19,18.66,4800,5.6,1,0
EWR,FLL,1/1/2018,NONSTOP,LOWEST,114.2,21.18,0,0,1,0
EWR,FLL,1/1/2018,NONSTOP,POINTS,114.2,21.18,7500,5.6,1,0
PHL,BOS,1/1/2018,NONSTOP,LOWEST,113.2,21.11,0,0,1,0
PHL,BOS,1/1/2018,NONSTOP,POINTS,113.2,21.11,7400,5.6,1,0
BOS,ATL,1/1/2018,NONSTOP,LOWEST,79.21,18.74,0,0,1,0
BOS,ATL,1/1/2018,NONSTOP,POINTS,79.21,18.74,4900,5.6,1,0
JFK,MSY,1/1/2018,NONSTOP,LOWEST,128.2,22.15,0,0,1,0
JFK,MSY,1/1/2018,NONSTOP,POINTS,128.2,22.15,8500,5.6,1,0
IAD,JFK,1/1/2018,NONSTOP,LOWEST,73.2,18.32,0,0,1,0
IAD,JFK,1/1/2018,NONSTOP,POINTS,73.2,18.32,4400,5.6,1,0
FLL,EWR,1/1/2018,NONSTOP,LOWEST,405.2,41.48,0,0,1,0
FLL,EWR,1/1/2018,NONSTOP,POINTS,405.2,41.48,34000,5.6,1,0
HPN,MCO,1/1/2018,NONSTOP,LOWEST,156.98,24.16,0,0,1,0
HPN,MCO,1/1/2018,NONSTOP,POINTS,156.98,24.16,10600,5.6,1,0
JFK,NAS,1/1/2018,NONSTOP,LOWEST,118.1,28.1,0,0,0,0
JFK,NAS,1/1/2018,NONSTOP,POINTS,118.1,28.1,6700,5.6,0,0
JFK,SJU,1/1/2018,NONSTOP,LOWEST,227.1,28.1,0,0,1,0
JFK,SJU,1/1/2018,NONSTOP,POINTS,227.1,28.1,14800,5.6,1,0
LGA,BOS,1/1/2018,NONSTOP,LOWEST,96.2,19.92,0,0,1,0
LGA,BOS,1/1/2018,NONSTOP,POINTS,96.2,19.92,6100,5.6,1,0
MCO,LGA,1/1/2018,NONSTOP,LOWEST,260.2,31.36,0,0,1,0
MCO,LGA,1/1/2018,NONSTOP,POINTS,260.2,31.36,21400,5.6,1,0
CHS,DCA,1/1/2018,NONSTOP,LOWEST,104.2,20.48,0,0,1,0
CHS,DCA,1/1/2018,NONSTOP,POINTS,104.2,20.48,6700,5.6,1,0
SYR,FLL,1/1/2018,NONSTOP,LOWEST,216.34,28.3,0,0,1,0
SYR,FLL,1/1/2018,NONSTOP,POINTS,216.34,28.3,15000,5.6,1,0
SJU,MCO,1/1/2018,NONSTOP,LOWEST,166.1,28.1,0,0,1,0
SJU,MCO,1/1/2018,NONSTOP,POINTS,166.1,28.1,10300,5.6,1,0
FLL,MEX,1/1/2018,NONSTOP,LOWEST,239.82,54.82,0,0,0,0
FLL,MEX,1/1/2018,NONSTOP,POINTS,239.82,54.82,16100,32.32,0,0
JFK,MBJ,1/1/2018,NONSTOP,LOWEST,192.1,72.1,0,0,0,0
JFK,MBJ,1/1/2018,NONSTOP,POINTS,192.1,72.1,8900,49.6,0,0
DCA,FLL,1/1/2018,NONSTOP,LOWEST,91.2,19.57,0,0,1,0
DCA,FLL,1/1/2018,NONSTOP,POINTS,91.2,19.57,5800,5.6,1,0
EWR,TPA,1/1/2018,NONSTOP,LOWEST,152.2,23.83,0,0,1,0
EWR,TPA,1/1/2018,NONSTOP,POINTS,152.2,23.83,10300,5.6,1,0
PIT,FLL,1/1/2018,NONSTOP,LOWEST,78.19,18.66,0,0,1,0
PIT,FLL,1/1/2018,NONSTOP,POINTS,78.19,18.66,4800,5.6,1,0
MCO,JFK,1/1/2018,NONSTOP,LOWEST,267.2,31.85,0,0,1,0
MCO,JFK,1/1/2018,NONSTOP,POINTS,267.2,31.85,20300,5.6,1,0
FLL,BDL,1/1/2018,NONSTOP,LOWEST,301.7,34.26,0,0,1,0
FLL,BDL,1/1/2018,NONSTOP,POINTS,301.7,34.26,21300,5.6,1,0
BWI,FLL,1/1/2018,NONSTOP,LOWEST,78.19,18.66,0,0,1,0
BWI,FLL,1/1/2018,NONSTOP,POINTS,78.19,18.66,4800,5.6,1,0
SLC,LGB,1/1/2018,NONSTOP,LOWEST,130.2,22.29,0,0,1,0
SLC,LGB,1/1/2018,NONSTOP,POINTS,130.2,22.29,8600,5.6,1,0
LGB,SJC,1/1/2018,NONSTOP,LOWEST,58.2,17.27,0,0,1,0
LGB,SJC,1/1/2018,NONSTOP,POINTS,58.2,17.27,3300,5.6,1,0
LGB,SFO,1/1/2018,NONSTOP,LOWEST,65.2,17.76,0,0,1,0
LGB,SFO,1/1/2018,NONSTOP,POINTS,65.2,17.76,3800,5.6,1,0
LGB,OAK,1/1/2018,NONSTOP,LOWEST,68.2,17.97,0,0,1,0
LGB,OAK,1/1/2018,NONSTOP,POINTS,68.2,17.97,4000,5.6,1,0
SJU,JFK,1/1/2018,NONSTOP,LOWEST,227.1,28.1,0,0,1,0
SJU,JFK,1/1/2018,NONSTOP,POINTS,227.1,28.1,14800,5.6,1,0
JFK,TPA,1/1/2018,NONSTOP,LOWEST,139.2,22.92,0,0,1,0
JFK,TPA,1/1/2018,NONSTOP,POINTS,139.2,22.92,9300,5.6,1,0
FLL,NAS,1/1/2018,NONSTOP,LOWEST,78.1,28.1,0,0,0,0
FLL,NAS,1/1/2018,NONSTOP,POINTS,78.1,28.1,3800,5.6,0,0
BOS,BUF,1/1/2018,NONSTOP,LOWEST,58.2,17.27,0,0,1,0
BOS,BUF,1/1/2018,NONSTOP,POINTS,58.2,17.27,3300,5.6,1,0
FLL,RIC,1/1/2018,NONSTOP,LOWEST,301.7,34.26,0,0,1,0
FLL,RIC,1/1/2018,NONSTOP,POINTS,301.7,34.26,25000,5.6,1,0
