Origin,Destination,FlightDate,FlightType,FareType,DollarFare,DollarTax,PointsFare,PointsTax,IsDomesticRoute,IsPrivateFare
SFO,LGB,12/1/2017,NONSTOP,POINTS,68.98,18.02,4100,5.6,1,0
OAK,LGB,12/1/2017,NONSTOP,LOWEST,109.2,20.83,0,0,1,0
OAK,LGB,12/1/2017,NONSTOP,POINTS,109.2,20.83,7100,5.6,1,0
JFK,FLL,12/1/2017,NONSTOP,LOWEST,205.2,27.53,0,0,1,0
JFK,FLL,12/1/2017,NONSTOP,POINTS,205.2,27.53,14200,5.6,1,0
SDQ,JFK,12/1/2017,NONSTOP,LOWEST,396.06,133.06,0,0,0,0
SDQ,JFK,12/1/2017,NONSTOP,POINTS,396.06,133.06,19500,62.26,0,0
DTW,BOS,12/1/2017,NONSTOP,LOWEST,205.2,27.53,0,0,1,0
DTW,BOS,12/1/2017,NONSTOP,POINTS,205.2,27.53,15300,5.6,1,0
BOS,EWR,12/1/2017,NONSTOP,POINTS,174.2,25.36,11900,5.6,1,1
RDU,BOS,12/1/2017,NONSTOP,LOWEST,278.2,32.62,0,0,1,0
RDU,BOS,12/1/2017,NONSTOP,POINTS,278.2,32.62,19600,5.6,1,0
BOS,PBI,12/1/2017,NONSTOP,LOWEST,338.21,36.81,0,0,1,0
BOS,PBI,12/1/2017,NONSTOP,POINTS,322.2,35.69,24700,5.6,1,1
EWR,PBI,12/1/2017,NONSTOP,LOWEST,196.2,26.9,0,0,1,0
EWR,PBI,12/1/2017,NONSTOP,POINTS,196.2,26.9,13500,5.6,1,0
JFK,SJU,12/1/2017,NONSTOP,LOWEST,512.1,28.1,0,0,1,0
JFK,SJU,12/1/2017,NONSTOP,POINTS,512.1,28.1,53800,5.6,1,0
MCO,DCA,12/1/2017,NONSTOP,LOWEST,171.2,25.15,0,0,1,0
MCO,DCA,12/1/2017,NONSTOP,POINTS,171.2,25.15,11700,5.6,1,0
JFK,BUF,12/1/2017,NONSTOP,LOWEST,178.2,25.64,0,0,1,0
JFK,BUF,12/1/2017,NONSTOP,POINTS,178.2,25.64,13200,5.6,1,0
MCO,LGA,12/1/2017,NONSTOP,LOWEST,123.21,21.81,0,0,1,0
MCO,LGA,12/1/2017,NONSTOP,POINTS,123.21,21.81,8100,5.6,1,0
BOS,ATL,12/1/2017,NONSTOP,LOWEST,221.2,28.64,0,0,1,0
BOS,ATL,12/1/2017,NONSTOP,POINTS,221.2,28.64,18000,5.6,1,0
