Origin,Destination,FlightDate,FlightType,FareType,DollarFare,DollarTax,PointsFare,PointsTax,IsDomesticRoute,IsPrivateFare
RIC,FLL,3/1/2018,NONSTOP,LOWEST,204.2,27.46,0,0,1,0
RIC,FLL,3/1/2018,NONSTOP,POINTS,204.2,27.46,14100,5.6,1,0
PVD,MCO,3/1/2018,NONSTOP,LOWEST,155.2,24.04,0,0,1,0
PVD,MCO,3/1/2018,NONSTOP,POINTS,155.2,24.04,10500,5.6,1,0
EWR,PBI,3/1/2018,NONSTOP,LOWEST,134.2,22.57,0,0,1,0
EWR,PBI,3/1/2018,NONSTOP,POINTS,134.2,22.57,8900,5.6,1,0
SJC,LGB,3/1/2018,NONSTOP,LOWEST,48.98,16.63,0,0,1,0
SJC,LGB,3/1/2018,NONSTOP,POINTS,48.98,16.63,2600,5.6,1,0
BOS,RDU,3/1/2018,NONSTOP,LOWEST,147.2,23.48,0,0,1,0
BOS,RDU,3/1/2018,NONSTOP,POINTS,147.2,23.48,9900,5.6,1,0
BOS,SEA,3/1/2018,NONSTOP,LOWEST,148.2,23.55,0,0,1,0
BOS,SEA,3/1/2018,NONSTOP,POINTS,141.2,23.06,9500,5.6,1,1
HPN,MCO,3/1/2018,NONSTOP,LOWEST,181.98,25.91,0,0,1,0
HPN,MCO,3/1/2018,NONSTOP,POINTS,181.98,25.91,12500,5.6,1,0
LGA,BOS,3/1/2018,NONSTOP,LOWEST,138.2,22.85,0,0,1,0
LGA,BOS,3/1/2018,NONSTOP,POINTS,138.2,22.85,9200,5.6,1,0
SYR,FLL,3/1/2018,NONSTOP,LOWEST,279.98,32.74,0,0,1,0
SYR,FLL,3/1/2018,NONSTOP,POINTS,279.98,32.74,21300,5.6,1,0
PBI,JFK,3/1/2018,NONSTOP,LOWEST,94.2,19.78,0,0,1,0
PBI,JFK,3/1/2018,NONSTOP,POINTS,94.2,19.78,6000,5.6,1,0
FLL,MEX,3/1/2018,NONSTOP,LOWEST,104.82,54.82,0,0,0,0
FLL,MEX,3/1/2018,NONSTOP,POINTS,104.82,54.82,3800,32.32,0,0
EWR,RSW,3/1/2018,NONSTOP,LOWEST,152.2,23.83,0,0,1,0
EWR,RSW,3/1/2018,NONSTOP,POINTS,152.2,23.83,10300,5.6,1,0
JFK,SJU,3/1/2018,NONSTOP,LOWEST,177.1,28.1,0,0,1,0
JFK,SJU,3/1/2018,NONSTOP,POINTS,177.1,28.1,11100,5.6,1,0
BOS,PHL,3/1/2018,NONSTOP,LOWEST,68.2,17.97,0,0,1,0
BOS,PHL,3/1/2018,NONSTOP,POINTS,68.2,17.97,4000,5.6,1,0
LGB,OAK,3/1/2018,NONSTOP,LOWEST,48.2,16.57,0,0,1,0
LGB,OAK,3/1/2018,NONSTOP,POINTS,48.2,16.57,2600,5.6,1,0
BOS,HOU,3/1/2018,NONSTOP,LOWEST,71.2,18.18,0,0,1,0
BOS,HOU,3/1/2018,NONSTOP,POINTS,71.2,18.18,4300,5.6,1,0
BOS,AUA,3/1/2018,NONSTOP,LOWEST,363.1,38.1,0,0,0,0
BOS,AUA,3/1/2018,NONSTOP,POINTS,363.1,38.1,24100,15.6,0,0
BOS,DTW,3/1/2018,NONSTOP,LOWEST,68.2,17.97,0,0,1,0
BOS,DTW,3/1/2018,NONSTOP,POINTS,68.2,17.97,4000,5.6,1,0
CLE,FLL,3/1/2018,NONSTOP,LOWEST,70.2,18.11,0,0,1,0
CLE,FLL,3/1/2018,NONSTOP,POINTS,70.2,18.11,4200,5.6,1,0
BOS,CLE,3/1/2018,NONSTOP,LOWEST,61.2,17.48,0,0,1,0
BOS,CLE,3/1/2018,NONSTOP,POINTS,61.2,17.48,3500,5.6,1,0
FLL,KIN,3/1/2018,NONSTOP,LOWEST,142.1,72.1,0,0,0,0
FLL,KIN,3/1/2018,NONSTOP,POINTS,142.1,72.1,5200,49.6,0,0
BGI,FLL,3/1/2018,NONSTOP,LOWEST,118.06,73.06,0,0,0,0
BGI,FLL,3/1/2018,NONSTOP,POINTS,118.06,73.06,3400,41.66,0,0
ATL,BOS,3/1/2018,NONSTOP,LOWEST,89.2,19.43,0,0,1,0
ATL,BOS,3/1/2018,NONSTOP,POINTS,89.2,19.43,5600,5.6,1,0
CHS,FLL,3/1/2018,NONSTOP,LOWEST,89.2,19.43,0,0,1,0
CHS,FLL,3/1/2018,NONSTOP,POINTS,89.2,19.43,5600,5.6,1,0
BWI,FLL,3/1/2018,NONSTOP,LOWEST,113.2,21.11,0,0,1,0
BWI,FLL,3/1/2018,NONSTOP,POINTS,113.2,21.11,7400,5.6,1,0
FLL,NAS,3/1/2018,NONSTOP,LOWEST,78.1,28.1,0,0,0,0
FLL,NAS,3/1/2018,NONSTOP,POINTS,78.1,28.1,3800,5.6,0,0
JAX,FLL,3/1/2018,NONSTOP,LOWEST,54.2,16.99,0,0,1,0
JAX,FLL,3/1/2018,NONSTOP,POINTS,54.2,16.99,3000,5.6,1,0
JAX,BOS,3/1/2018,NONSTOP,LOWEST,187.2,26.27,0,0,1,0
JAX,BOS,3/1/2018,NONSTOP,POINTS,187.2,26.27,12900,5.6,1,0
IAD,JFK,3/1/2018,NONSTOP,LOWEST,118.2,21.46,0,0,1,0
IAD,JFK,3/1/2018,NONSTOP,POINTS,118.2,21.46,7800,5.6,1,0
LGA,MCO,3/1/2018,NONSTOP,LOWEST,130.2,22.29,0,0,1,0
LGA,MCO,3/1/2018,NONSTOP,POINTS,130.2,22.29,8600,5.6,1,0
MCO,EWR,3/1/2018,NONSTOP,LOWEST,68.2,17.97,0,0,1,0
MCO,EWR,3/1/2018,NONSTOP,POINTS,68.2,17.97,4000,5.6,1,0
MCO,NAS,3/1/2018,NONSTOP,LOWEST,73.1,28.1,0,0,0,0
MCO,NAS,3/1/2018,NONSTOP,POINTS,73.1,28.1,3400,5.6,0,0
ORD,FLL,3/1/2018,NONSTOP,LOWEST,97.2,19.99,0,0,1,0
ORD,FLL,3/1/2018,NONSTOP,POINTS,97.2,19.99,6200,5.6,1,0
PIT,FLL,3/1/2018,NONSTOP,LOWEST,93.2,19.71,0,0,1,0
PIT,FLL,3/1/2018,NONSTOP,POINTS,93.2,19.71,5900,5.6,1,0
RDU,FLL,3/1/2018,NONSTOP,LOWEST,108.2,20.76,0,0,1,0
RDU,FLL,3/1/2018,NONSTOP,POINTS,108.2,20.76,7000,5.6,1,0
BOS,BNA,3/1/2018,NONSTOP,LOWEST,85.2,19.15,0,0,1,0
BOS,BNA,3/1/2018,NONSTOP,POINTS,85.2,19.15,5300,5.6,1,0
BOS,ORD,3/1/2018,NONSTOP,LOWEST,76.2,18.53,0,0,1,0
BOS,ORD,3/1/2018,NONSTOP,POINTS,76.2,18.53,4600,5.6,1,0
JFK,SAV,3/1/2018,NONSTOP,LOWEST,77.2,18.6,0,0,1,0
JFK,SAV,3/1/2018,NONSTOP,POINTS,77.2,18.6,4700,5.6,1,0
MCO,BOS,3/1/2018,NONSTOP,LOWEST,141.2,23.06,0,0,1,0
MCO,BOS,3/1/2018,NONSTOP,POINTS,141.2,23.06,9500,5.6,1,0
DTW,FLL,3/1/2018,NONSTOP,LOWEST,91.2,19.57,0,0,1,0
DTW,FLL,3/1/2018,NONSTOP,POINTS,91.2,19.57,5800,5.6,1,0
SDQ,SJU,3/1/2018,NONSTOP,LOWEST,162.16,82.16,0,0,0,0
SDQ,SJU,3/1/2018,NONSTOP,POINTS,162.16,82.16,6000,62.26,0,0
JFK,ANU,3/1/2018,NONSTOP,LOWEST,145.6,65.6,0,0,0,0
JFK,ANU,3/1/2018,NONSTOP,POINTS,145.6,65.6,6000,43.1,0,0
FLL,BDL,3/1/2018,NONSTOP,LOWEST,78.19,18.66,0,0,1,0
FLL,BDL,3/1/2018,NONSTOP,POINTS,78.19,18.66,4800,5.6,1,0
BOS,LAX,3/1/2018,NONSTOP,LOWEST,138.2,22.85,0,0,1,0
BOS,LAX,3/1/2018,NONSTOP,POINTS,138.2,22.85,9200,5.6,1,0
MVY,BOS,3/1/2018,NONSTOP,LOWEST,163.5,20.8,0,0,1,0
JFK,CHS,3/1/2018,NONSTOP,LOWEST,84.2,19.08,0,0,1,0
JFK,CHS,3/1/2018,NONSTOP,POINTS,84.2,19.08,5200,5.6,1,0
JFK,POP,3/1/2018,NONSTOP,LOWEST,232.4,59.4,0,0,0,0
JFK,POP,3/1/2018,NONSTOP,POINTS,232.4,59.4,12900,36.9,0,0
JFK,RSW,3/1/2018,NONSTOP,LOWEST,150.2,23.69,0,0,1,0
JFK,RSW,3/1/2018,NONSTOP,POINTS,150.2,23.69,10100,5.6,1,0
LGB,LAS,3/1/2018,NONSTOP,LOWEST,58.2,17.27,0,0,1,0
LGB,LAS,3/1/2018,NONSTOP,POINTS,58.2,17.27,3300,5.6,1,0
JFK,SYR,3/1/2018,NONSTOP,LOWEST,63.2,17.62,0,0,1,0
JFK,SYR,3/1/2018,NONSTOP,POINTS,63.2,17.62,3700,5.6,1,0
BOS,AUS,3/1/2018,NONSTOP,LOWEST,159.2,24.32,0,0,1,0
BOS,AUS,3/1/2018,NONSTOP,POINTS,159.2,24.32,10800,5.6,1,0
DCA,BDL,3/1/2018,NONSTOP,LOWEST,112.2,21.04,0,0,1,0
DCA,BDL,3/1/2018,NONSTOP,POINTS,112.2,21.04,7300,5.6,1,0
FLL,SJU,3/1/2018,NONSTOP,LOWEST,114.1,28.1,0,0,1,0
FLL,SJU,3/1/2018,NONSTOP,POINTS,114.1,28.1,6400,5.6,1,0
FLL,SDQ,3/1/2018,NONSTOP,LOWEST,137.4,59.4,0,0,0,0
FLL,SDQ,3/1/2018,NONSTOP,POINTS,137.4,59.4,5800,36.9,0,0
JFK,LGB,3/1/2018,NONSTOP,LOWEST,128.2,22.15,0,0,1,0
JFK,LGB,3/1/2018,NONSTOP,POINTS,128.2,22.15,8500,5.6,1,0
BUF,FLL,3/1/2018,NONSTOP,LOWEST,174.2,25.36,0,0,1,0
BUF,FLL,3/1/2018,NONSTOP,POINTS,174.2,25.36,11900,5.6,1,0
JFK,SAN,3/1/2018,NONSTOP,LOWEST,191.2,26.55,0,0,1,0
JFK,SAN,3/1/2018,NONSTOP,POINTS,191.2,26.55,13200,5.6,1,0
HPN,FLL,3/1/2018,NONSTOP,LOWEST,191.2,26.55,0,0,1,0
HPN,FLL,3/1/2018,NONSTOP,POINTS,191.2,26.55,13200,5.6,1,0
LGA,PBI,3/1/2018,NONSTOP,LOWEST,166.21,24.81,0,0,1,0
LGA,PBI,3/1/2018,NONSTOP,POINTS,166.21,24.81,11300,5.6,1,0
BOS,DFW,3/1/2018,NONSTOP,LOWEST,82.2,18.94,0,0,1,0
BOS,DFW,3/1/2018,NONSTOP,POINTS,82.2,18.94,5100,5.6,1,0
JFK,CLT,3/1/2018,NONSTOP,LOWEST,143.2,23.2,0,0,1,0
JFK,CLT,3/1/2018,NONSTOP,POINTS,143.2,23.2,9600,5.6,1,0
BDL,MCO,3/1/2018,NONSTOP,LOWEST,205.2,27.53,0,0,1,0
BDL,MCO,3/1/2018,NONSTOP,POINTS,205.2,27.53,14200,5.6,1,0
JFK,UVF,3/1/2018,NONSTOP,LOWEST,173.5,33.5,0,0,0,0
JFK,UVF,3/1/2018,NONSTOP,POINTS,173.5,33.5,10400,11,0,0
DCA,MCO,3/1/2018,NONSTOP,LOWEST,206.2,27.6,0,0,1,0
DCA,MCO,3/1/2018,NONSTOP,POINTS,206.2,27.6,14300,5.6,1,0
SYR,MCO,3/1/2018,NONSTOP,LOWEST,228.2,29.13,0,0,1,0
SYR,MCO,3/1/2018,NONSTOP,POINTS,228.2,29.13,15900,5.6,1,0
BOS,IAD,3/1/2018,NONSTOP,LOWEST,83.2,19.01,0,0,1,0
BOS,IAD,3/1/2018,NONSTOP,POINTS,83.2,19.01,5200,5.6,1,0
JFK,RDU,3/1/2018,NONSTOP,LOWEST,93.2,19.71,0,0,1,0
JFK,RDU,3/1/2018,NONSTOP,POINTS,93.2,19.71,5900,5.6,1,0
JFK,BOS,3/1/2018,NONSTOP,LOWEST,138.2,22.85,0,0,1,0
JFK,BOS,3/1/2018,NONSTOP,POINTS,138.2,22.85,9200,5.6,1,0
BOS,PBI,3/1/2018,NONSTOP,LOWEST,258.2,31.22,0,0,1,0
BOS,PBI,3/1/2018,NONSTOP,POINTS,258.2,31.22,18100,5.6,1,0
JFK,AUA,3/1/2018,NONSTOP,LOWEST,176.1,38.1,0,0,0,0
JFK,AUA,3/1/2018,NONSTOP,POINTS,176.1,38.1,10300,15.6,0,0
BDL,FLL,3/1/2018,NONSTOP,LOWEST,191.2,26.55,0,0,1,0
BDL,FLL,3/1/2018,NONSTOP,POINTS,191.2,26.55,13200,5.6,1,0
FLL,HAV,3/1/2018,NONSTOP,LOWEST,98.1,53.1,0,0,0,0
FLL,HAV,3/1/2018,NONSTOP,POINTS,98.1,53.1,3400,30.6,0,0
FLL,HPN,3/1/2018,NONSTOP,LOWEST,131.2,22.36,0,0,1,0
FLL,HPN,3/1/2018,NONSTOP,POINTS,131.2,22.36,8700,5.6,1,0
BOS,STT,3/1/2018,NONSTOP,LOWEST,128.1,28.1,0,0,1,0
BOS,STT,3/1/2018,NONSTOP,POINTS,128.1,28.1,7500,5.6,1,0
DCA,SJU,3/1/2018,NONSTOP,LOWEST,155.1,28.1,0,0,1,0
DCA,SJU,3/1/2018,NONSTOP,POINTS,155.1,28.1,9500,5.6,1,0
EWR,FLL,3/1/2018,NONSTOP,LOWEST,114.2,21.18,0,0,1,0
EWR,FLL,3/1/2018,NONSTOP,POINTS,114.2,21.18,7500,5.6,1,0
LAX,FLL,3/1/2018,NONSTOP,LOWEST,185.2,26.13,0,0,1,0
LAX,FLL,3/1/2018,NONSTOP,POINTS,185.2,26.13,12700,5.6,1,0
JFK,GCM,3/1/2018,NONSTOP,LOWEST,117.1,28.1,0,0,0,0
JFK,GCM,3/1/2018,NONSTOP,POINTS,117.1,28.1,6600,5.6,0,0
JFK,DAB,3/1/2018,NONSTOP,LOWEST,88.98,19.42,0,0,1,0
JFK,DAB,3/1/2018,NONSTOP,POINTS,88.98,19.42,5600,5.6,1,0
MCO,BWI,3/1/2018,NONSTOP,LOWEST,63.2,17.62,0,0,1,0
MCO,BWI,3/1/2018,NONSTOP,POINTS,63.2,17.62,3700,5.6,1,0
SDQ,MCO,3/1/2018,NONSTOP,LOWEST,302.86,118.86,0,0,0,0
SDQ,MCO,3/1/2018,NONSTOP,POINTS,302.86,118.86,13700,62.26,0,0
BOS,JFK,3/1/2018,NONSTOP,LOWEST,138.2,22.85,0,0,1,0
BOS,JFK,3/1/2018,NONSTOP,POINTS,138.2,22.85,9200,5.6,1,0
MCO,MEX,3/1/2018,NONSTOP,LOWEST,84.82,54.82,0,0,0,0
MCO,MEX,3/1/2018,NONSTOP,POINTS,84.82,54.82,2300,32.32,0,0
JFK,PAP,3/1/2018,NONSTOP,LOWEST,190.6,40.6,0,0,0,0
JFK,PAP,3/1/2018,NONSTOP,POINTS,190.6,40.6,11200,18.1,0,0
BOS,CUN,3/1/2018,NONSTOP,LOWEST,209.82,54.82,0,0,0,0
